originalorder	field	description	k	r	sd	documentnumber	reference	year
370	Personality	Aggressive, withdrawn children are rejected by their peers	194	0.03	0.28	204	Newcomb, A. F., & Bagwell, C. L. (1995). Children's friendship relations: A meta-analytic review. Psychological Bulletin, 117, 306–347.	1995
371	Personality	Nonaggressive, unsociable children are neglected by their peers	182	0.06	0.11	204	Newcomb, A. F., & Bagwell, C. L. (1995). Children's friendship relations: A meta-analytic review. Psychological Bulletin, 117, 306–347.	1995
372	Personality	Aggressive, sociable children cause controversy among their peers	63	0.18	0.26	204	Newcomb, A. F., & Bagwell, C. L. (1995). Children's friendship relations: A meta-analytic review. Psychological Bulletin, 117, 306–347.	1995
373	Personality	People who are optimistic are usually in a good mood	42	0.43	0.13	16	Anderrson, G. (1996). The benefits of optimism: A meta-analytic review of the Life Orientation Test. Personality and Individual Differences, 21, 719–725.	1996
374	Personality	People with low self-esteem often feel bad	6	0.46	0.22	300	Watson, D., & Clark, L. A. (1984). Negative affectivity: The disposition to experience aversive emotional states. Psychological Bulletin, 96, 465– 490.	1984
375	Personality	People with low self-esteem often suffer communication apprehension	31	0.35	NA	167	Lustig, M. W., & Andersen, P. A. (1990). Generalizing about communication apprehension and avoidance: Multiple replications and meta-analyses. Journal of Social Behavior and Personality, 5, 309–340.	1990
376	Personality	Students who have high self-esteem achieve a lot	1136	0.21	0.47	132	Hattie, J. (1992). Self-concept. Hillsdale, NJ: Erlbaum.	1992
377	Personality	Students who perform well have high perceived self-efficacy	38	0.38	0.04	199	Multon, K. D., Brown, S. D., & Lent, R. W. (1991). Relation of self-efficacy beliefs to academic outcomes: A meta-analytic investigation. Journal of Counseling Psychology, 38, 30–38.	1991
378	Personality	Students who perform poorly are external in locus of control	261	0.23	0.39	148	Kalechstein, A. D., & Nowicki, S., Jr. (1997). A meta-analytic examination of the relationship between control expectancies and academic achievement: An 11-year follow-up to Findley and Cooper. Genetic, Social, and General Psychology Monographs, 123, 27–56.	1997
379	Personality	Students who perform poorly are external in locus of control	67	0.18	0.41	101	Findley, M. J., & Cooper, H. M. (1983). Locus of control and academic achievement: A literature review. Journal of Personality and Social Psychology, 44, 419–427.	1983
380	Personality	People who suffer depression are external in locus of control	97	0.32	0.33	26	Benassi, V. A., Sweeney, P. D., & Dufour, C. L. (1988). Is there a relation between locus of control orientation and depression? Journal of Abnormal Psychology, 97, 357–367.	1988
381	Personality	People who suffer depression are external in locus of control	15	0.19	0.11	223	Presson, P. K., & Benassi, V. A. (1996). Locus of control orientation and depressive symptomatology: A meta-analysis. Journal of Social Behavior and Personality, 11, 201–212. 	1996
382	Personality	Shrewd, manipulative people are external in locus of control	20	0.34	NA	180	Mudrack, P. E. (1990). Machiavellianism and locus of control: A meta-analytic review. The Journal of Social Psychology, 130, 125–126.	1990
383	Personality	Intrinsically religious people do not make selfish use of religion	34	0.06	0.15	72	Donahue, M. J. (1986). Intrinsic and extrinsic religiousness: Review and meta-analysis. Journal of Personality and Social Psychology, 48, 400–419.	1986
384	Personality	Socially anxious people: blush and have rapid heartrate	28	0.36	NA	217	Patterson, M. L., & Ritts, V. (1997). Social and communicative anxiety: A review and meta-analysis. Communication Yearbook, 20, 263–303. 	1997
385	Personality	Socially anxious people: have negative self-focus, and worry about being evaluated	232	0.46	NA	217	Patterson, M. L., & Ritts, V. (1997). Social and communicative anxiety: A review and meta-analysis. Communication Yearbook, 20, 263–303. 	1997
386	Personality	Socially anxious people: stutter, pause before speaking, and avoid others	120	0.4	NA	217	Patterson, M. L., & Ritts, V. (1997). Social and communicative anxiety: A review and meta-analysis. Communication Yearbook, 20, 263–303. 	1997
387	Personality	A person's ability to process messages is disrupted by anxiety	18	0.34	0.14	221	Preiss, R. W., Wheeless, L. R., & Allen, M. (1990). Potential cognitive processes and consequences of receiver apprehension: A meta-analytic review. Journal of Social Behavior and Personality, 5, 155–172. 	1990
388	Personality	Only children are highly sociable	54	0	0.22	220	Polit, D. F., & Falbo, T. (1987). Only children and personality development: A quantitative review. Journal of Marriage and the Family, 49, 309–325. 	1987
389	Personality	There are sex differences: men have higher self-esteem than women	88	0.06	0.06	97	Feingold, A. (1994). Gender differences in personality: A meta-analysis. Psychological Bulletin, 116, 429–456.	1994
390	Personality	Women experience more anxiety than men	64	0.13	0.08	97	Feingold, A. (1994). Gender differences in personality: A meta-analysis. Psychological Bulletin, 116, 429–456.	1994
391	Personality	Women are more anxious than men about communicating with others	22	0.1	NA	167	Lustig, M. W., & Andersen, P. A. (1990). Generalizing about communication apprehension and avoidance: Multiple replications and meta-analyses. Journal of Social Behavior and Personality, 5, 309–340.	1990
392	Personality	Women are more likely than men to be external in locus of control	39	0.06	0.16	97	Feingold, A. (1994). Gender differences in personality: A meta-analysis. Psychological Bulletin, 116, 429–456.	1994
393	Personality	Men are more assertive than women	52	0.08	0.19	97	Feingold, A. (1994). Gender differences in personality: A meta-analysis. Psychological Bulletin, 116, 429–456.	1994
394	Personality	Girls develop mature personalities at an earlier age than boys	113	0.14	0.12	53	Cohn, L. D. (1991). Sex differences in the course of personality development: A meta-analysis. Psychological Bulletin, 109, 252–266.	1991
395	Relationships	Romantic partners resemble one another in physical attractiveness	61	0.3	0.1	92	Feingold, A. (1988). Matching for attractiveness in romantic partners and same-sex friends: A metaanalysis and theoretical critique. Psychological Bulletin, 104, 226–235.	1988
396	Relationships	People who are physically attractive are judged to have positive traits	183	0.21	0.12	96	Feingold, A. (1992). Good-looking people are not what we think. Psychological Bulletin, 111, 304–341.	1992
397	Relationships	People who are physically attractive are judged to have positive traits	76	0.28	0.18	77	Eagly, A. H., Ashmore, R. D., Makhijani, M. G., & Longo, L. C. (1991). What is beautiful is good, but . . . : A meta-analysis of research on the physical attractiveness stereotype. Psychological Bulletin, 110, 109–128.	1991
398	Relationships	People who are physically attractive are judged to have positive traits	17	0.2	NA	228	Ritts, V., Patterson, M. L., & Tubbs, M. E. (1992). Expectations, impressions, and judgments of physically attractive students. Review of Educational Research, 62, 413–426. 	1992
399	Relationships	People who are physically attractive have positive traits	266	0.09	0.08	96	Feingold, A. (1992). Good-looking people are not what we think. Psychological Bulletin, 111, 304–341.	1992
400	Relationships	People who are physically attractive are judged to be intelligent	47	0.29	0.15	144	Jackson, L. A., Hunter, J. E., & Hodge, C. N. (1995). Physical attractiveness and intellectual competence: A meta-analytic review. Social Psychology Quarterly, 58, 108–122.	1995
401	Relationships	People who are physically attractive are intelligent	31	0.14	0.11	144	Jackson, L. A., Hunter, J. E., & Hodge, C. N. (1995). Physical attractiveness and intellectual competence: A meta-analytic review. Social Psychology Quarterly, 58, 108–122.	1995
402	Relationships	Physically attractive women are popular	28	0.4	0.08	93	Feingold, A. (1990). Gender differences in effects of physical attractiveness on romantic attraction: A comparison across five research paradigms. Journal of Personality and Social Psychology, 59, 981–993.	1990
403	Relationships	Physically attractive men are popular	28	0.36	0.1	93	Feingold, A. (1990). Gender differences in effects of physical attractiveness on romantic attraction: A comparison across five research paradigms. Journal of Personality and Social Psychology, 59, 981–993.	1990
404	Relationships	People engage in self-disclosure to people they like	31	0.34	0.32	55	Collins, N. L., & Miller, L. C. (1994). Selfdisclosure and liking: A meta-analytic review. Psychological Bulletin, 116, 457–475.	1994
405	Relationships	People who disclose a lot about themselves are liked by others	94	0.14	0.27	55	Collins, N. L., & Miller, L. C. (1994). Selfdisclosure and liking: A meta-analytic review. Psychological Bulletin, 116, 457–475.	1994
406	Relationships	Interpersonal attraction is reciprocated	11	0.42	NA	151	Kenny, D. A. (1994). Interpersonal perception: A social relations analysis. New York: Guilford Press.	1994
407	Relationships	Friends interact more positively with one another than nonfriends	251	0.18	0.23	203	Newcomb, A. F., Bukowski, W. M., & Pattee, L. (1993). Children's peer relations: A meta-analytic review of popular, rejected, neglected, controversial, and average sociometric status. Psychological Bulletin, 113, 99–128.	1993
408	Relationships	Adolescents use contraceptives if they: receive social support	45	0.22	NA	309	Whitley, B. E., Jr., & Schofield, J. W. (1986). A meta-analysis of research on adolescent contraceptive use. Population and Environment, 8, 173–203. 	1986
409	Relationships	Adolescents use contraceptives if they: have a good relationship with their partner	37	0.16	NA	309	Whitley, B. E., Jr., & Schofield, J. W. (1986). A meta-analysis of research on adolescent contraceptive use. Population and Environment, 8, 173–203. 	1986
410	Relationships	Spouses who treat one another well are satisfied with their marriage	13	0.29	NA	150	Karney, B. R., & Bradbury, T. N. (1995). The longitudinal course of marital quality and stability: A review of theory, method, and research. Psychological Bulletin, 118, 3–34.	1995
411	Relationships	People who relate well to their children relate well to their spouse	253	0.22	0.15	88	Erel, O., & Burman, B. (1995). Interrelatedness of marital relations and parent-child relations: A meta-analytic review. Psychological Bulletin, 118, 108–132.	1995
412	Relationships	People involved in intimate violence give undesirable self-descriptions	18	0.18	0.05	277	Sugarman, D. B., & Hotaling, G. T. (1997). Intimate violence and social desirability: A metaanalytic review. Journal of Interpersonal Violence, 12, 275–290. 	1997
413	Relationships	There are sex differences in relationships: Women are more likely than men to engage in self-disclosure to others	205	0.09	0.12	70	Dindia, K., & Allen, M. (1992). Sex differences in self-disclosure: A meta-analysis. Psychological Bulletin, 112, 106–124.	1992
414	Relationships	In comparison with women, men are more likely to rate: physical attractiveness as important in romantic attraction	10	0.18	0.03	94	Feingold, A. (1991). Sex differences in the effects of similarity and physical attractiveness on opposite-sex attraction. Basic and Applied Social Psychology, 12, 357–367.	1991
415	Relationships	In comparison with women, men are more likely to rate: physical attractiveness as important in mate selection	34	0.26	0.05	93	Feingold, A. (1990). Gender differences in effects of physical attractiveness on romantic attraction: A comparison across five research paradigms. Journal of Personality and Social Psychology, 59, 981–993.	1990
416	Relationships	In comparison with women, men are more likely to rate: similarity as unimportant in romantic attraction	10	0.11	0	94	Feingold, A. (1991). Sex differences in the effects of similarity and physical attractiveness on opposite-sex attraction. Basic and Applied Social Psychology, 12, 357–367.	1991
417	Relationships	In selecting a mate, women attach more importance than men to: intelligence	23	0.14	0.04	95	Feingold, A. (1992). Gender differences in mate selection preferences: A test of the parental investment model. Psychological Bulletin, 112, 125–139.	1992
418	Relationships	In selecting a mate, women attach more importance than men to: socioeconomic status	23	0.31	0.11	95	Feingold, A. (1992). Gender differences in mate selection preferences: A test of the parental investment model. Psychological Bulletin, 112, 125–139.	1992
419	Relationships	In selecting a mate, women attach more importance than men to: character	19	0.16	0.04	95	Feingold, A. (1992). Gender differences in mate selection preferences: A test of the parental investment model. Psychological Bulletin, 112, 125–139.	1992
420	Relationships	Women are attracted to taller men, men are attracted to shorter women	14	0.46	0.37	219	Pierce, C. A. (1996). Body height and romantic attraction: A meta-analytic test of the male-taller norm. Social Behavior and Personality, 24, 143– 150. 	1996
421	Relationships	Men are more likely than women to: favor premarital sex	46	0.18	0.1	213	Oliver, M. B., & Hyde, J. S. (1993). Gender differences in sexuality: A meta-analysis. Psychological Bulletin, 114, 29–51. 	1993
422	Relationships	Men are more likely than women to: report being aroused by sexual stimuli	62	0.15	0.13	200	Murnen, S. K., & Stockton, M. (1997). Gender and self-reported sexual arousal in response to sexual stimuli: A meta-analytic review. Sex Roles, 37, 135–153.	1997
423	Relationships	Men are more likely than women to: be sexually permissive	39	0.27	0.12	213	Oliver, M. B., & Hyde, J. S. (1993). Gender differences in sexuality: A meta-analysis. Psychological Bulletin, 114, 29–51. 	1993
424	Relationships	Men are more likely than women to: report sexual intercourse	135	0.16	0.11	213	Oliver, M. B., & Hyde, J. S. (1993). Gender differences in sexuality: A meta-analysis. Psychological Bulletin, 114, 29–51. 	1993
425	Relationships	Men are more likely than women to: report petting	28	0.05	0.14	213	Oliver, M. B., & Hyde, J. S. (1993). Gender differences in sexuality: A meta-analysis. Psychological Bulletin, 114, 29–51. 	1993
426	Relationships	Men are more likely than women to: be satisfied if they remarry	65	0.03	0.02	297	Vemer, E., Coleman, M., Ganong, L. H., & Cooper, H. (1989). Marital satisfaction in remarriage: A meta-analysis. Journal of Marriage and the Family, 51, 713–725. 	1989
427	Social cognition	People who engage in a behavior believe that the behavior is common	115	0.31	0.17	184	Mullen, B., Atkins, J. L., Champion, D. S., Edwards, C., Hardy, D., Story, J. E., & Vanderklok, M. (1985). The false consensus effect: A meta-analysis of 115 hypothesis tests. Journal of Experimental Social Psychology, 21, 262–283.	1985
428	Social cognition	People who engage in a behavior believe that the behavior is common	84	0.34	0.21	193	Mullen, B., & Hu, L. (1988). Social projection as a function of cognitive mechanisms: Two metaanalytic integrations. British Journal of Social Psychology, 27, 333–356.	1988
429	Social cognition	The members of a majority will underestimate the size of their majority	67	0.33	0.39	193	Mullen, B., & Hu, L. (1988). Social projection as a function of cognitive mechanisms: Two metaanalytic integrations. British Journal of Social Psychology, 27, 333–356.	1988
430	Social cognition	The members of a minority will overestimate the size of their minority	67	0.49	0.42	193	Mullen, B., & Hu, L. (1988). Social projection as a function of cognitive mechanisms: Two metaanalytic integrations. British Journal of Social Psychology, 27, 333–356.	1988
431	Social cognition	A majority consisting of 50%-62% of a group will overestimate its size	47	0.09	NA	118	Gross, S. R., & Miller, N. (1997). The “Golden Section” and bias in perceptions of social consensus. Personality and Social Psychology Review, 1, 241–271.	1997
432	Social cognition	Once people know something, they believe they “knew it all along”	122	0.17	0.14	50	Christensen-Szalanski, J. J. J., & Willham, C. F. (1991). The hindsight bias: A meta-analysis. Organizational Behavior and Human Decision Processes, 48, 147–168.	1991
433	Social cognition	Impressions are based on stereotyping	40	0.19	NA	163	Kunda, Z., & Thagard, P. (1996). Forming impressions from stereotypes, traits, and behaviors: A parallel-constraint-satisfaction theory. Psychological Review, 103, 284–308.	1996
434	Social cognition	Impressions are based on individuals' special characteristics	40	0.69	NA	163	Kunda, Z., & Thagard, P. (1996). Forming impressions from stereotypes, traits, and behaviors: A parallel-constraint-satisfaction theory. Psychological Review, 103, 284–308.	1996
435	Social cognition	People know how well they are liked by others	12	0.3	NA	152	Kenny, D. A., & DePaulo, B. M. (1993). Do people know how others view them? An empirical and theoretical account. Psychological Bulletin, 114, 145–161.	1993
436	Social cognition	For social categorization, person categories are most often used	26	0	0.2	252	Sedikides, C., & Ostrom, T. M. (1988). Are person categories used when organizing information about unfamiliar sets of persons? Social Cognition, 6, 252–267. 	1988
437	Social cognition	Accuracy in rating others is reduced by biases, like being too lenient	240	0.05	NA	201	Murphy, K. R., & Balzer, W. K. (1989). Rater errors and rating accuracy. Journal of Applied Psychology, 74, 619–624.	1989
438	Social cognition	People are most likely to recall information from social memory if: it is inconsistent with their expectations	165	0.11	0.15	231	Rojahn, K., & Pettigrew, T. F. (1992). Memory for schema-relevant information: A meta-analytic resolution. British Journal of Social Psychology, 31, 81–109.	1992
439	Social cognition	People are most likely to recall information from social memory if: it is consistent with their expectations	65	0.03	0.33	263	Stangor, C., & McMillan, D. (1992). Memory for expectancy-congruent and expectancy-incongruent information: A review of the social and social developmental literatures. Psychological Bulletin, 111, 42–61. 	1992
440	Social cognition	People are most likely to recall information from social memory if: it is consistent with their attitudes	63	0.18	0.44	229	Roberts, J. V. (1985). The attitude-memory relationship after 40 years: A meta-analysis of the literature. Basic and Applied Social Psychology, 6, 221–241. 	1985
441	Social cognition	People are most likely to recall information from social memory if: it is consistent with their stereotypes	26	0.17	0.23	109	Fyock, J., & Stangor, C. (1994). The role of memory biases in stereotype maintenance. British Journal of Social Psychology, 33, 331–343.	1994
442	Social cognition	they think about how the information relates to them	129	0.24	0.19	284	Symons, C. S., & Johnson, B. T. (1997). The self-reference effect in memory: A meta-analysis. Psychological Bulletin, 121, 371–394. 	1997
443	Social cognition	their mood is the same as when they learned the information	100	0.21	0.37	295	Ucros, C. G. (1989). Mood state-dependent memory: A meta-analysis. Cognition and Emotion, 3, 139–167. 	1989
444	Social cognition	People remember positive events when they are elated	22	0.04	0	174	Matt, G. E., Vazquez, C., & Campbell, W. K. (1992). Mood-congruent recall of affectively toned stimuli: A meta-analytic review. Clinical Psychology Review, 12, 227–255.	1992
445	Social cognition	People remember negative events when they are depressed	35	0.04	0	174	Matt, G. E., Vazquez, C., & Campbell, W. K. (1992). Mood-congruent recall of affectively toned stimuli: A meta-analytic review. Clinical Psychology Review, 12, 227–255.	1992
446	Social cognition	People normally remember more positive than negative events	25	0.07	0	174	Matt, G. E., Vazquez, C., & Campbell, W. K. (1992). Mood-congruent recall of affectively toned stimuli: A meta-analytic review. Clinical Psychology Review, 12, 227–255.	1992
447	Social cognition	Memory is positively related to an individual's need for cognition	19	0.17	0.19	41	Cacioppo, J. T., Petty, R. E., Feinstein, J. A., & Jarvis, W. B. G. (1996). Dispositional differences in cognitive motivation: The life and times of individuals varying in need for cognition. Psychological Bulletin, 119, 197–253.	1996
448	Social cognition	Women are more accurate than men at recognizing people's faces	17	0.16	NA	123	Hall, J. A. (1984). Nonverbal sex differences: Communication accuracy and expressive style. Baltimore: Johns Hopkins.	1984
449	Social influence	In the presence of others: people become physiologically aroused	82	0.08	0.3	29	Bond, C. F., Jr., & Titus, L. J. (1983). Social facilitation: A meta-analysis of 241 studies. Psychological Bulletin, 94, 265–292.	1983
450	Social influence	In the presence of others: people become physiologically aroused	49	0.04	0.52	189	Mullen, B., Bryant, B., & Driskell, J. E. (1997). Presence of others and arousal: An integration. Group Dynamics: Theory, Research, and Practice, 1, 52–64.	1997
451	Social influence	In the presence of others: people show a social facilitation of simple task performance	266	0.11	0.24	29	Bond, C. F., Jr., & Titus, L. J. (1983). Social facilitation: A meta-analysis of 241 studies. Psychological Bulletin, 94, 265–292.	1983
452	Social influence	In the presence of others: people show a social impairment of complex task performance	201	0.16	0.3	29	Bond, C. F., Jr., & Titus, L. J. (1983). Social facilitation: A meta-analysis of 241 studies. Psychological Bulletin, 94, 265–292.	1983
453	Social influence	Children perform well on tests that are administered by people they know	34	0.16	0.18	106	Fuchs, D., & Fuchs, L. S. (1986). Test procedure bias: A meta-analysis of examiner familiarity effects. Review of Educational Research, 56, 243–262.	1986
454	Social influence	People who get a foot-in-the-door by securing compliance to a small request are likely to gain compliance to a larger request	85	0.16	NA	24	Beaman, A. L., Cole, C. M., Preston, M., Klentz, B., & Steblay, N. M. (1983). Fifteen years of foot-in-the-door research: A meta-analysis. Personality and Social Psychology Bulletin, 9, 181–196.	1983
455	Social influence	People who get a foot-in-the-door by securing compliance to a small request are likely to gain compliance to a larger request	77	0.13	0	99	Fern, E. F., Monroe, K. B., & Avila, R. A. (1986). Effectiveness of multiple request strategies: A synthesis of research results. Journal of Marketing Research, 23, 144–152.	1986
456	Social influence	People who get a foot-in-the-door by securing compliance to a small request are likely to gain compliance to a larger request	34	0.11	0.37	69	Dillard, J. P., Hunter, J. E., & Burgoon, M. (1984). Sequential-request persuasive strategies: Meta-analysis of foot-in-the-door and door-in-the-face. Human Communication Research, 10, 461–488.	1984
457	Social influence	People who get a door-in-the-face by securing refusal to a large request are likely to gain compliance to a smaller request	56	0.07	0	99	Fern, E. F., Monroe, K. B., & Avila, R. A. (1986). Effectiveness of multiple request strategies: A synthesis of research results. Journal of Marketing Research, 23, 144–152.	1986
458	Social influence	People who get a door-in-the-face by securing refusal to a large request are likely to gain compliance to a smaller request	24	0.08	0.3	69	Dillard, J. P., Hunter, J. E., & Burgoon, M. (1984). Sequential-request persuasive strategies: Meta-analysis of foot-in-the-door and door-in-the-face. Human Communication Research, 10, 461–488.	1984
459	Social influence	People who get a door-in-the-face by securing refusal to a large request are likely to gain compliance to a smaller request	17	0.1	0.07	208	O'Keefe, D. J., & FiggeÂ´, M. (1997). A guiltbased explanation of the door-in-the-face influence strategy. Human Communication Research, 24, 64–81. 	1997
460	Social influence	People show a conformity to others' incorrect answers	133	0.42	0.12	30	Bond, R., & Smith, P. B. (1996). Culture and conformity: A meta-analysis of studies using Asch's (1952b, 1956) line judgment task. Psychological Bulletin, 119, 111–137.	1996
461	Social influence	Women are more likely than men to conform to others' actions	38	0.06	0.07	56	Cooper, H. M. (1979). Statistically combining independent studies: A meta-analysis of sex differences in conformity research. Journal of Personality and Social Psychology, 37, 131–146.	1979
462	Social influence	Women are more susceptible to social influence than men	148	0.08	0.26	78	Eagly, A. H., & Carli, L. L. (1981). Sex of researchers and sex-typed communications as determinants of sex differences in influenceability: A meta-analysis of social influence studies. Psychological Bulletin, 90, 1–20.	1981
463	Social influence	People are unlikely to express their opinions without others' support	25	0.05	0.05	113	Glynn, C. J., Hayes, A. F., & Shanahan, J. (1997). Perceived support for one's opinions and willingness to speak out: A meta-analysis of survey studies on the “spiral of silence.” Public Opinion Quarterly, 61, 452–463.	1997
464	Social influence	People are likely to jaywalk if they see another person jaywalk	25	0.16	0.07	191	Mullen, B., Cooper, C., & Driskell, J. E. (1990). Jaywalking as a function of model behavior. Personality and Social Psychology Bulletin, 16, 320–330.	1990
465	Social influence	People who engage in ingratiation are well-liked	69	0.1	0.25	114	Gordon, R. A. (1996). Impact of ingratiation on judgments and evaluations: A meta-analytic investigation. Journal of Personality and Social Psychology, 71, 54–70.	1996
466	Social influence	It is easiest to influence a person who: has low self-esteem	38	0.11	0.21	227	Rhodes, N., & Wood, W. (1992). Self-esteem and intelligence affect influenceability: The mediating role of message reception. Psychological Bulletin, 111, 156–171. 	1992
467	Social influence	It is easiest to influence a person who: has moderate self-esteem	41	0.09	0.13	227	Rhodes, N., & Wood, W. (1992). Self-esteem and intelligence affect influenceability: The mediating role of message reception. Psychological Bulletin, 111, 156–171. 	1992
468	Social influence	It is easiest to influence a person who: has little intelligence	10	0.2	0.25	227	Rhodes, N., & Wood, W. (1992). Self-esteem and intelligence affect influenceability: The mediating role of message reception. Psychological Bulletin, 111, 156–171. 	1992
469	Social influence	The higher a person's status, the greater the person's social influence	9	0.18	0.33	181	Mullen, B. (1985). Strength and immediacy of sources: A meta-analytic evaluation of the forgotten elements of social impact theory. Journal of Personality and Social Psychology, 48, 1458–1466.	1985
470	Social influence	Subordinates are most productive and satisfied if their supervisors: use expert or referent power	52	0.27	0.26	49	Carson, P. P., Carson, K. D., & Roe, C. W. (1993). Social power bases: A meta-analytic examination of interrelationships and outcomes. Journal of Applied Social Psychology, 23, 1150–1169.	1993
471	Social influence	Subordinates are most productive and satisfied if their supervisors: use legitimate or reward power	52	0.04	0.25	49	Carson, P. P., Carson, K. D., & Roe, C. W. (1993). Social power bases: A meta-analytic examination of interrelationships and outcomes. Journal of Applied Social Psychology, 23, 1150–1169.	1993
472	Social influence	Subordinates are most productive and satisfied if their supervisors: refrain from using coercive power	26	0.18	0.22	49	Carson, P. P., Carson, K. D., & Roe, C. W. (1993). Social power bases: A meta-analytic examination of interrelationships and outcomes. Journal of Applied Social Psychology, 23, 1150–1169.	1993
473	Social influence	In comparison with majority influence, minority social influence produces: more change in private behaviors unrelated to the influence	12	0.02	0.17	316	Wood, W., Lundgren, S., Ouellette, J. A., Busceme, S., & Blackstone, T. (1994). Minority influence: A meta-analytic review of social influence processes. Psychological Bulletin, 115, 323–345. 	1994
474	Social influence	In comparison with majority influence, minority social influence produces: less change in other behaviors	26	0.15	0.12	316	Wood, W., Lundgren, S., Ouellette, J. A., Busceme, S., & Blackstone, T. (1994). Minority influence: A meta-analytic review of social influence processes. Psychological Bulletin, 115, 323–345. 	1994
